episode,agent,opponent,goals_scored,goals_conceded,result
0,base,base2,2,3,lose
0,base2,base,2,3,lose
1,base,base2,3,2,win
1,base2,base,2,3,lose
2,base,base2,2,3,lose
2,base2,base,3,2,win
3,base,base2,2,3,lose
3,base2,base,2,3,lose
4,base,base2,3,2,win
4,base2,base,2,3,lose
5,base,base2,2,3,lose
5,base2,base,3,2,win
6,base,base2,2,3,lose
6,base2,base,2,3,lose
7,base,base2,2,3,lose
7,base2,base,2,3,lose
8,base,base2,3,2,win
8,base2,base,3,2,win
9,base,base2,3,2,win
9,base2,base,2,3,lose
10,base,base2,3,2,win
10,base2,base,2,3,lose
11,base,base2,2,3,lose
11,base2,base,2,3,lose
12,base,base2,3,2,win
12,base2,base,3,2,win
13,base,base2,3,2,win
13,base2,base,3,2,win
14,base,base2,2,3,lose
14,base2,base,2,3,lose
15,base,base2,2,3,lose
15,base2,base,2,3,lose
16,base,base2,3,2,win
16,base2,base,2,3,lose
17,base,base2,2,3,lose
17,base2,base,2,3,lose
18,base,base2,3,2,win
18,base2,base,2,3,lose
19,base,base2,2,3,lose
19,base2,base,2,3,lose
20,base,base2,2,3,lose
20,base2,base,2,3,lose
21,base,base2,3,2,win
21,base2,base,2,3,lose
22,base,base2,2,3,lose
22,base2,base,3,2,win
23,base,base2,2,3,lose
23,base2,base,2,3,lose
24,base,base2,2,3,lose
24,base2,base,2,3,lose
25,base,base2,2,3,lose
25,base2,base,3,2,win
26,base,base2,2,3,lose
26,base2,base,2,3,lose
27,base,base2,2,3,lose
27,base2,base,3,2,win
28,base,base2,2,3,lose
28,base2,base,2,3,lose
29,base,base2,3,2,win
29,base2,base,2,3,lose
30,base,base2,3,2,win
30,base2,base,2,3,lose
31,base,base2,2,3,lose
31,base2,base,3,2,win
32,base,base2,3,2,win
32,base2,base,2,3,lose
33,base,base2,3,2,win
33,base2,base,3,2,win
34,base,base2,2,3,lose
34,base2,base,2,3,lose
35,base,base2,2,3,lose
35,base2,base,3,2,win
36,base,base2,2,3,lose
36,base2,base,3,2,win
37,base,base2,3,2,win
37,base2,base,2,3,lose
38,base,base2,3,2,win
38,base2,base,2,3,lose
39,base,base2,2,3,lose
39,base2,base,2,3,lose
40,base,base2,3,2,win
40,base2,base,3,2,win
41,base,base2,3,2,win
41,base2,base,2,3,lose
42,base,base2,3,2,win
42,base2,base,3,2,win
43,base,base2,3,2,win
43,base2,base,3,2,win
44,base,base2,3,2,win
44,base2,base,3,2,win
45,base,base2,3,2,win
45,base2,base,3,2,win
46,base,base2,3,2,win
46,base2,base,3,2,win
47,base,base2,2,3,lose
47,base2,base,3,2,win
48,base,base2,3,2,win
48,base2,base,2,3,lose
49,base,base2,3,2,win
49,base2,base,3,2,win
50,base,base2,2,3,lose
50,base2,base,2,3,lose
51,base,base2,2,3,lose
51,base2,base,3,2,win
52,base,base2,2,3,lose
52,base2,base,2,3,lose
53,base,base2,3,2,win
53,base2,base,2,3,lose
54,base,base2,2,3,lose
54,base2,base,4,1,win
55,base,base2,2,3,lose
55,base2,base,3,2,win
56,base,base2,3,2,win
56,base2,base,2,3,lose
57,base,base2,3,2,win
57,base2,base,2,3,lose
58,base,base2,2,3,lose
58,base2,base,2,3,lose
59,base,base2,3,2,win
59,base2,base,2,3,lose
60,base,base2,2,3,lose
60,base2,base,2,3,lose
61,base,base2,3,2,win
61,base2,base,3,2,win
62,base,base2,3,2,win
62,base2,base,3,2,win
63,base,base2,2,3,lose
63,base2,base,3,2,win
64,base,base2,3,2,win
64,base2,base,3,2,win
65,base,base2,3,2,win
65,base2,base,3,2,win
66,base,base2,3,2,win
66,base2,base,3,2,win
67,base,base2,2,3,lose
67,base2,base,2,3,lose
68,base,base2,2,3,lose
68,base2,base,2,3,lose
69,base,base2,2,3,lose
69,base2,base,3,2,win
70,base,base2,3,2,win
70,base2,base,3,2,win
71,base,base2,2,3,lose
71,base2,base,2,3,lose
72,base,base2,2,3,lose
72,base2,base,3,2,win
73,base,base2,3,2,win
73,base2,base,3,2,win
74,base,base2,3,2,win
74,base2,base,2,3,lose
75,base,base2,2,3,lose
75,base2,base,2,3,lose
76,base,base2,2,3,lose
76,base2,base,3,2,win
77,base,base2,2,3,lose
77,base2,base,2,3,lose
78,base,base2,3,2,win
78,base2,base,3,2,win
79,base,base2,2,3,lose
79,base2,base,2,3,lose
80,base,base2,2,3,lose
80,base2,base,2,3,lose
81,base,base2,2,3,lose
81,base2,base,2,3,lose
82,base,base2,3,2,win
82,base2,base,3,2,win
83,base,base2,2,3,lose
83,base2,base,3,2,win
84,base,base2,3,2,win
84,base2,base,2,3,lose
85,base,base2,2,3,lose
85,base2,base,3,2,win
86,base,base2,2,3,lose
86,base2,base,2,3,lose
87,base,base2,3,2,win
87,base2,base,2,3,lose
88,base,base2,3,2,win
88,base2,base,3,2,win
89,base,base2,3,2,win
89,base2,base,3,2,win
90,base,base2,3,2,win
90,base2,base,2,3,lose
91,base,base2,3,2,win
91,base2,base,3,2,win
92,base,base2,2,3,lose
92,base2,base,3,2,win
93,base,base2,2,3,lose
93,base2,base,2,3,lose
94,base,base2,3,2,win
94,base2,base,2,3,lose
95,base,base2,3,2,win
95,base2,base,2,3,lose
96,base,base2,3,2,win
96,base2,base,2,3,lose
97,base,base2,2,3,lose
97,base2,base,2,3,lose
98,base,base2,2,3,lose
98,base2,base,3,2,win
99,base,base2,3,2,win
99,base2,base,3,2,win
100,base,base2,3,2,win
100,base2,base,2,3,lose
101,base,base2,3,2,win
101,base2,base,2,3,lose
102,base,base2,2,3,lose
102,base2,base,3,2,win
103,base,base2,2,3,lose
103,base2,base,3,2,win
104,base,base2,3,2,win
104,base2,base,3,2,win
105,base,base2,3,2,win
105,base2,base,2,3,lose
106,base,base2,2,3,lose
106,base2,base,3,2,win
107,base,base2,3,2,win
107,base2,base,2,3,lose
108,base,base2,2,3,lose
108,base2,base,3,2,win
109,base,base2,2,3,lose
109,base2,base,3,2,win
110,base,base2,3,2,win
110,base2,base,3,2,win
111,base,base2,2,3,lose
111,base2,base,3,2,win
112,base,base2,3,2,win
112,base2,base,2,3,lose
113,base,base2,2,3,lose
113,base2,base,3,2,win
114,base,base2,2,3,lose
114,base2,base,2,3,lose
115,base,base2,2,3,lose
115,base2,base,2,3,lose
116,base,base2,3,2,win
116,base2,base,2,3,lose
117,base,base2,2,3,lose
117,base2,base,2,3,lose
118,base,base2,3,2,win
118,base2,base,3,2,win
119,base,base2,3,2,win
119,base2,base,3,2,win
120,base,base2,2,3,lose
120,base2,base,2,3,lose
121,base,base2,3,2,win
121,base2,base,2,3,lose
122,base,base2,2,3,lose
122,base2,base,3,2,win
123,base,base2,2,3,lose
123,base2,base,2,3,lose
124,base,base2,2,3,lose
124,base2,base,2,3,lose
125,base,base2,3,2,win
125,base2,base,3,2,win
126,base,base2,2,3,lose
126,base2,base,2,3,lose
127,base,base2,2,3,lose
127,base2,base,3,2,win
128,base,base2,3,2,win
128,base2,base,2,3,lose
129,base,base2,3,2,win
129,base2,base,3,2,win
130,base,base2,3,2,win
130,base2,base,3,2,win
131,base,base2,3,2,win
131,base2,base,2,3,lose
